Name,Class
2007_000032,aeroplane
2007_000032,person
2007_000033,aeroplane
2007_000039,tvmonitor
2007_000042,train
2007_000061,boat
2007_000063,chair
2007_000063,dog
2007_000068,bird
2007_000121,tvmonitor
2007_000123,train
2007_000129,bicycle
2007_000129,person
2007_000170,bottle
2007_000170,person
2007_000175,sheep
2007_000187,tvmonitor
2007_000241,boat
2007_000243,aeroplane
2007_000250,bottle
2007_000250,diningtable
2007_000256,aeroplane
2007_000323,person
2007_000332,horse
2007_000333,train
2007_000346,bottle
2007_000346,person
2007_000363,bird
2007_000364,motorbike
2007_000364,person
2007_000392,horse
2007_000392,person
2007_000452,chair
2007_000452,sofa
2007_000464,cow
2007_000480,aeroplane
2007_000480,person
2007_000491,cow
2007_000504,cow
2007_000504,person
2007_000515,bicycle
2007_000515,car
2007_000515,person
2007_000528,cat
2007_000529,boat
2007_000529,car
2007_000549,cat
2007_000559,bottle
2007_000559,tvmonitor
2007_000572,bicycle
2007_000584,bicycle
2007_000584,sofa
2007_000629,person
2007_000629,train
2007_000636,train
2007_000645,bird
2007_000648,aeroplane
2007_000648,bus
2007_000648,car
2007_000648,person
2007_000661,chair
2007_000661,pottedplant
2007_000661,sofa
2007_000663,bus
2007_000663,car
2007_000676,sheep
2007_000713,boat
2007_000720,dog
2007_000727,bus
2007_000727,car
2007_000727,person
2007_000733,motorbike
2007_000733,person
2007_000738,aeroplane
2007_000762,bottle
2007_000762,diningtable
2007_000762,person
2007_000768,bus
2007_000783,horse
2007_000783,person
2007_000793,bicycle
2007_000793,bus
2007_000793,person
2007_000799,horse
2007_000799,person
2007_000804,chair
2007_000804,sofa
2007_000822,motorbike
2007_000830,chair
2007_000830,diningtable
2007_000836,horse
2007_000836,person
2007_000837,boat
2007_000847,diningtable
2007_000847,person
2007_000862,boat
2007_000862,person
2007_000876,cat
2007_000904,cow
2007_000904,horse
2007_000904,person
2007_000925,sheep
2007_000999,bottle
2007_000999,person
2007_001027,bicycle
2007_001027,chair
2007_001027,sofa
2007_001027,tvmonitor
2007_001073,cow
2007_001149,pottedplant
2007_001149,sofa
2007_001149,tvmonitor
2007_001154,pottedplant
2007_001154,sofa
2007_001175,person
2007_001175,tvmonitor
2007_001185,bottle
2007_001185,cat
2007_001185,diningtable
2007_001185,person
2007_001225,dog
2007_001239,dog
2007_001284,person
2007_001288,aeroplane
2007_001289,bird
2007_001299,cow
2007_001311,bicycle
2007_001311,person
2007_001321,car
2007_001340,chair
2007_001340,dog
2007_001340,person
2007_001377,aeroplane
2007_001397,dog
2007_001408,bottle
2007_001408,person
2007_001408,pottedplant
2007_001416,sheep
2007_001420,horse
2007_001420,person
2007_001420,pottedplant
2007_001423,person
2007_001430,diningtable
2007_001430,person
2007_001430,pottedplant
2007_001430,tvmonitor
2007_001439,chair
2007_001439,diningtable
2007_001457,chair
2007_001457,sofa
2007_001458,sofa
2007_001487,boat
2007_001526,person
2007_001568,aeroplane
2007_001585,bottle
2007_001585,person
2007_001585,sofa
2007_001586,horse
2007_001586,person
2007_001587,bicycle
2007_001594,dog
2007_001594,person
2007_001594,sheep
2007_001595,bus
2007_001602,bottle
2007_001609,chair
2007_001609,diningtable
2007_001630,bicycle
2007_001630,person
2007_001677,chair
2007_001677,diningtable
2007_001678,chair
2007_001678,person
2007_001678,tvmonitor
2007_001698,boat
2007_001704,tvmonitor
2007_001709,motorbike
2007_001709,person
2007_001717,chair
2007_001717,person
2007_001717,tvmonitor
2007_001724,horse
2007_001733,sheep
2007_001761,aeroplane
2007_001763,cat
2007_001763,dog
2007_001763,sofa
2007_001763,tvmonitor
2007_001764,cow
2007_001774,cat
2007_001825,cat
2007_001825,dog
2007_001834,diningtable
2007_001857,car
2007_001857,person
2007_001872,sheep
2007_001884,aeroplane
2007_001884,bus
2007_001901,chair
2007_001901,diningtable
2007_001901,sofa
2007_001917,cow
2007_001955,horse
2007_001960,horse
2007_002024,bus
2007_002024,person
2007_002046,horse
2007_002055,dog
2007_002055,person
2007_002055,sofa
2007_002088,cow
2007_002094,bird
2007_002099,aeroplane
2007_002105,motorbike
2007_002105,person
2007_002107,aeroplane
2007_002119,person
2007_002119,tvmonitor
2007_002120,bird
2007_002120,person
2007_002132,tvmonitor
2007_002142,person
2007_002198,aeroplane
2007_002212,bird
2007_002216,bus
2007_002227,bicycle
2007_002227,tvmonitor
2007_002234,boat
2007_002260,motorbike
2007_002266,aeroplane
2007_002268,cat
2007_002268,dog
2007_002268,sofa
2007_002273,horse
2007_002273,person
2007_002281,car
2007_002281,person
2007_002284,pottedplant
2007_002293,person
2007_002361,person
2007_002361,pottedplant
2007_002368,chair
2007_002368,diningtable
2007_002368,sofa
2007_002370,car
2007_002370,person
2007_002376,aeroplane
2007_002378,person
2007_002378,pottedplant
2007_002387,cow
2007_002387,person
2007_002400,bird
2007_002403,bird
2007_002403,boat
2007_002403,person
2007_002412,bird
2007_002426,person
2007_002426,sofa
2007_002427,pottedplant
2007_002427,sofa
2007_002445,cat
2007_002462,train
2007_002470,cat
2007_002488,motorbike
2007_002488,person
2007_002539,bus
2007_002539,person
2007_002545,bottle
2007_002545,person
2007_002545,sofa
2007_002565,person
2007_002565,train
2007_002597,cat
2007_002597,dog
2007_002611,dog
2007_002611,person
2007_002618,sheep
2007_002619,aeroplane
2007_002624,diningtable
2007_002624,person
2007_002639,person
2007_002643,car
2007_002643,motorbike
2007_002643,person
2007_002648,sheep
2007_002668,diningtable
2007_002668,person
2007_002668,pottedplant
2007_002669,cow
2007_002669,person
2007_002719,boat
2007_002719,person
2007_002728,person
2007_002728,train
2007_002760,cat
2007_002789,car
2007_002789,cow
2007_002789,person
2007_002823,motorbike
2007_002823,person
2007_002824,person
2007_002845,sheep
2007_002852,dog
2007_002895,person
2007_002896,bird
2007_002903,cow
2007_002914,diningtable
2007_002914,person
2007_002953,bottle
2007_002953,tvmonitor
2007_002954,person
2007_002967,pottedplant
2007_003000,aeroplane
2007_003011,chair
2007_003011,diningtable
2007_003011,sofa
2007_003011,tvmonitor
2007_003020,person
2007_003020,pottedplant
2007_003022,horse
2007_003022,person
2007_003051,car
2007_003088,bottle
2007_003088,person
2007_003101,bus
2007_003101,car
2007_003106,cat
2007_003106,person
2007_003110,dog
2007_003118,bird
2007_003118,person
2007_003131,boat
2007_003134,person
2007_003137,bus
2007_003143,car
2007_003169,cat
2007_003169,sofa
2007_003178,train
2007_003188,bicycle
2007_003188,person
2007_003189,horse
2007_003189,person
2007_003189,pottedplant
2007_003190,sheep
2007_003191,person
2007_003194,dog
2007_003195,bus
2007_003195,car
2007_003201,cow
2007_003205,chair
2007_003205,person
2007_003207,bottle
2007_003251,chair
2007_003251,diningtable
2007_003267,bird
2007_003286,train
2007_003330,bird
2007_003349,bird
2007_003367,motorbike
2007_003367,person
2007_003367,pottedplant
2007_003373,dog
2007_003373,person
2007_003431,bottle
2007_003431,person
2007_003451,bottle
2007_003451,chair
2007_003451,sofa
2007_003451,tvmonitor
2007_003499,train
2007_003503,bus
2007_003503,car
2007_003503,person
2007_003506,pottedplant
2007_003525,cat
2007_003529,diningtable
2007_003529,person
2007_003530,person
2007_003530,sofa
2007_003541,chair
2007_003541,person
2007_003565,bird
2007_003571,boat
2007_003580,person
2007_003587,car
2007_003587,train
2007_003593,sheep
2007_003604,dog
2007_003604,tvmonitor
2007_003611,horse
2007_003611,person
2007_003621,bicycle
2007_003621,bus
2007_003621,person
2007_003668,diningtable
2007_003682,bird
2007_003711,bus
2007_003711,car
2007_003711,person
2007_003714,sheep
2007_003715,bus
2007_003742,diningtable
2007_003742,person
2007_003778,cat
2007_003778,pottedplant
2007_003786,bus
2007_003788,cat
2007_003788,chair
2007_003815,car
2007_003815,person
2007_003841,cow
2007_003848,train
2007_003861,boat
2007_003872,dog
2007_003876,aeroplane
2007_003889,chair
2007_003889,horse
2007_003889,person
2007_003910,boat
2007_003910,person
2007_003917,car
2007_003957,train
2007_003991,cat
2007_004003,motorbike
2007_004009,aeroplane
2007_004033,motorbike
2007_004033,person
2007_004052,aeroplane
2007_004065,bus
2007_004065,person
2007_004081,cow
2007_004081,pottedplant
2007_004112,dog
2007_004112,person
2007_004121,person
2007_004121,pottedplant
2007_004143,bird
2007_004166,chair
2007_004166,diningtable
2007_004166,dog
2007_004166,sofa
2007_004166,tvmonitor
2007_004189,dog
2007_004190,tvmonitor
2007_004193,bottle
2007_004193,chair
2007_004193,tvmonitor
2007_004241,boat
2007_004275,motorbike
2007_004275,person
2007_004275,pottedplant
2007_004281,person
2007_004281,train
2007_004289,person
2007_004289,tvmonitor
2007_004291,bottle
2007_004291,person
2007_004328,person
2007_004380,motorbike
2007_004380,person
2007_004392,chair
2007_004392,person
2007_004392,pottedplant
2007_004405,chair
2007_004405,diningtable
2007_004423,sheep
2007_004459,aeroplane
2007_004459,person
2007_004468,bottle
2007_004476,bottle
2007_004476,person
2007_004481,car
2007_004481,person
2007_004483,train
2007_004500,cow
2007_004510,chair
2007_004510,tvmonitor
2007_004537,cow
2007_004537,horse
2007_004537,person
2007_004538,horse
2007_004538,person
2007_004558,pottedplant
2007_004627,train
2007_004644,dog
2007_004649,train
2007_004663,train
2007_004705,bus
2007_004705,car
2007_004707,person
2007_004707,pottedplant
2007_004712,bottle
2007_004712,chair
2007_004712,diningtable
2007_004712,person
2007_004712,pottedplant
2007_004722,horse
2007_004722,person
2007_004768,sheep
2007_004769,bicycle
2007_004769,person
2007_004810,car
2007_004810,person
2007_004830,car
2007_004830,person
2007_004841,aeroplane
2007_004856,cat
2007_004866,cat
2007_004902,horse
2007_004902,person
2007_004948,pottedplant
2007_004951,train
2007_004969,sheep
2007_004988,aeroplane
2007_004998,cat
2007_005043,aeroplane
2007_005058,sheep
2007_005064,bicycle
2007_005064,person
2007_005074,bird
2007_005074,boat
2007_005074,car
2007_005086,chair
2007_005086,diningtable
2007_005086,person
2007_005107,bicycle
2007_005107,person
2007_005114,cow
2007_005114,horse
2007_005114,person
2007_005124,cow
2007_005124,person
2007_005130,bird
2007_005144,person
2007_005149,dog
2007_005173,motorbike
2007_005173,person
2007_005210,tvmonitor
2007_005212,chair
2007_005212,motorbike
2007_005212,sofa
2007_005227,person
2007_005248,horse
2007_005248,person
2007_005262,bus
2007_005262,car
2007_005264,bird
2007_005266,chair
2007_005266,pottedplant
2007_005266,sofa
2007_005273,bicycle
2007_005273,car
2007_005273,person
2007_005281,bicycle
2007_005281,person
2007_005294,bottle
2007_005296,car
2007_005296,person
2007_005304,bottle
2007_005304,person
2007_005314,motorbike
2007_005331,car
2007_005331,horse
2007_005331,person
2007_005354,motorbike
2007_005354,person
2007_005358,aeroplane
2007_005358,boat
2007_005360,train
2007_005368,bicycle
2007_005368,person
2007_005428,bottle
2007_005430,bicycle
2007_005430,bottle
2007_005430,person
2007_005460,cat
2007_005469,sheep
2007_005509,aeroplane
2007_005509,car
2007_005509,person
2007_005547,car
2007_005547,cow
2007_005547,person
2007_005600,aeroplane
2007_005600,person
2007_005608,motorbike
2007_005608,person
2007_005626,train
2007_005647,chair
2007_005647,diningtable
2007_005647,sofa
2007_005688,cat
2007_005689,train
2007_005696,dog
2007_005702,bicycle
2007_005702,person
2007_005705,boat
2007_005759,motorbike
2007_005759,person
2007_005790,diningtable
2007_005790,person
2007_005797,cow
2007_005797,person
2007_005803,diningtable
2007_005813,pottedplant
2007_005828,aeroplane
2007_005844,chair
2007_005844,diningtable
2007_005845,cat
2007_005845,person
2007_005857,pottedplant
2007_005859,person
2007_005878,motorbike
2007_005902,tvmonitor
2007_005911,bus
2007_005915,sheep
2007_005951,motorbike
2007_005951,person
2007_005978,bus
2007_005988,car
2007_005988,dog
2007_005988,person
2007_005989,motorbike
2007_005989,person
2007_006004,chair
2007_006004,person
2007_006028,bicycle
2007_006028,person
2007_006035,car
2007_006046,boat
2007_006066,chair
2007_006066,sofa
2007_006066,tvmonitor
2007_006076,bird
2007_006076,person
2007_006086,bottle
2007_006086,chair
2007_006086,diningtable
2007_006117,person
2007_006134,horse
2007_006136,sheep
2007_006151,car
2007_006151,horse
2007_006151,person
2007_006171,dog
2007_006171,person
2007_006171,sofa
2007_006212,aeroplane
2007_006232,aeroplane
2007_006241,bottle
2007_006241,chair
2007_006241,diningtable
2007_006254,train
2007_006260,cat
2007_006277,car
2007_006281,boat
2007_006303,cat
2007_006303,pottedplant
2007_006317,bicycle
2007_006317,bus
2007_006317,person
2007_006348,chair
2007_006348,tvmonitor
2007_006364,horse
2007_006364,person
2007_006373,person
2007_006373,sofa
2007_006400,train
2007_006409,bottle
2007_006409,diningtable
2007_006409,person
2007_006444,dog
2007_006444,person
2007_006445,horse
2007_006445,person
2007_006449,bicycle
2007_006477,chair
2007_006477,person
2007_006483,bottle
2007_006483,person
2007_006490,bird
2007_006490,boat
2007_006490,person
2007_006530,chair
2007_006530,sofa
2007_006549,boat
2007_006553,chair
2007_006560,person
2007_006581,bicycle
2007_006581,car
2007_006585,motorbike
2007_006585,person
2007_006605,chair
2007_006605,pottedplant
2007_006615,person
2007_006641,cat
2007_006647,motorbike
2007_006647,person
2007_006660,boat
2007_006660,car
2007_006661,bicycle
2007_006661,person
2007_006673,boat
2007_006678,sheep
2007_006680,train
2007_006698,person
2007_006699,diningtable
2007_006699,person
2007_006704,tvmonitor
2007_006761,cow
2007_006802,person
2007_006802,train
2007_006803,person
2007_006803,train
2007_006832,sheep
2007_006837,sheep
2007_006841,cow
2007_006841,person
2007_006864,person
2007_006865,bird
2007_006866,horse
2007_006866,person
2007_006899,sheep
2007_006900,car
2007_006944,horse
2007_006944,sheep
2007_006946,aeroplane
2007_007003,bus
2007_007003,car
2007_007007,bottle
2007_007007,diningtable
2007_007007,person
2007_007021,bottle
2007_007021,chair
2007_007021,diningtable
2007_007048,bottle
2007_007048,person
2007_007048,sheep
2007_007084,bird
2007_007098,cat
2007_007109,horse
2007_007109,person
2007_007130,pottedplant
2007_007130,tvmonitor
2007_007154,person
2007_007165,sheep
2007_007168,train
2007_007195,person
2007_007195,train
2007_007196,tvmonitor
2007_007203,chair
2007_007203,person
2007_007203,tvmonitor
2007_007211,motorbike
2007_007230,sheep
2007_007235,bicycle
2007_007235,person
2007_007250,bottle
2007_007250,tvmonitor
2007_007341,aeroplane
2007_007341,person
2007_007355,motorbike
2007_007355,person
2007_007387,train
2007_007398,bus
2007_007398,person
2007_007414,car
2007_007414,person
2007_007415,boat
2007_007415,person
2007_007417,cat
2007_007417,dog
2007_007417,sofa
2007_007432,chair
2007_007432,tvmonitor
2007_007447,bicycle
2007_007447,car
2007_007447,person
2007_007470,aeroplane
2007_007477,boat
2007_007480,bus
2007_007480,person
2007_007481,bird
2007_007493,bottle
2007_007493,chair
2007_007493,person
2007_007498,diningtable
2007_007498,person
2007_007523,bird
2007_007524,cat
2007_007530,cat
2007_007530,chair
2007_007530,tvmonitor
2007_007534,sheep
2007_007585,dog
2007_007591,bus
2007_007591,car
2007_007621,sheep
2007_007624,pottedplant
2007_007649,bottle
2007_007649,person
2007_007651,diningtable
2007_007651,person
2007_007688,motorbike
2007_007698,aeroplane
2007_007726,person
2007_007726,train
2007_007748,horse
2007_007748,person
2007_007772,cow
2007_007773,bus
2007_007783,bottle
2007_007783,motorbike
2007_007783,person
2007_007795,chair
2007_007795,person
2007_007795,pottedplant
2007_007810,diningtable
2007_007810,person
2007_007815,car
2007_007815,person
2007_007818,bus
2007_007818,car
2007_007836,bicycle
2007_007836,person
2007_007849,person
2007_007849,tvmonitor
2007_007878,cat
2007_007878,person
2007_007881,train
2007_007890,pottedplant
2007_007891,person
2007_007902,motorbike
2007_007902,person
2007_007908,bus
2007_007930,dog
2007_007947,train
2007_007948,car
2007_007948,person
2007_007996,chair
2007_007996,person
2007_007996,sofa
2007_007996,tvmonitor
2007_008043,person
2007_008043,pottedplant
2007_008051,bird
2007_008072,chair
2007_008072,diningtable
2007_008072,person
2007_008084,bird
2007_008085,bird
2007_008106,chair
2007_008106,pottedplant
2007_008110,cat
2007_008110,chair
2007_008110,person
2007_008140,pottedplant
2007_008142,horse
2007_008142,person
2007_008203,sofa
2007_008204,bottle
2007_008204,person
2007_008204,tvmonitor
2007_008218,person
2007_008219,boat
2007_008219,person
2007_008222,dog
2007_008256,horse
2007_008256,person
2007_008260,dog
2007_008260,sofa
2007_008307,horse
2007_008307,person
2007_008339,train
2007_008374,person
2007_008374,tvmonitor
2007_008403,cat
2007_008407,chair
2007_008407,person
2007_008407,tvmonitor
2007_008415,dog
2007_008430,person
2007_008468,chair
2007_008468,pottedplant
2007_008468,sofa
2007_008526,horse
2007_008526,person
2007_008543,chair
2007_008543,sofa
2007_008547,pottedplant
2007_008571,boat
2007_008575,cat
2007_008596,horse
2007_008596,person
2007_008645,boat
2007_008670,bird
2007_008708,car
2007_008708,person
2007_008714,aeroplane
2007_008722,cow
2007_008747,bus
2007_008747,car
2007_008764,bird
2007_008778,bottle
2007_008778,person
2007_008801,car
2007_008801,motorbike
2007_008801,person
2007_008802,horse
2007_008802,person
2007_008815,cat
2007_008821,chair
2007_008821,pottedplant
2007_008821,sofa
2007_008897,chair
2007_008897,person
2007_008897,tvmonitor
2007_008927,cow
2007_008932,diningtable
2007_008932,person
2007_008944,person
2007_008945,diningtable
2007_008945,person
2007_008948,chair
2007_008948,tvmonitor
2007_008964,dog
2007_008964,person
2007_008973,cow
2007_008980,dog
2007_008994,motorbike
2007_009015,bus
2007_009015,car
2007_009030,aeroplane
2007_009052,car
2007_009052,person
2007_009068,chair
2007_009068,person
2007_009068,pottedplant
2007_009068,sofa
2007_009082,cow
2007_009084,chair
2007_009084,dog
2007_009084,motorbike
2007_009084,person
2007_009088,bird
2007_009096,car
2007_009139,motorbike
2007_009139,person
2007_009209,motorbike
2007_009209,person
2007_009216,cat
2007_009216,tvmonitor
2007_009221,cat
2007_009245,cow
2007_009251,horse
2007_009251,person
2007_009252,chair
2007_009252,pottedplant
2007_009252,sofa
2007_009258,bicycle
2007_009258,person
2007_009295,bicycle
2007_009295,person
2007_009295,tvmonitor
2007_009320,person
2007_009320,sheep
2007_009322,bus
2007_009322,car
2007_009322,motorbike
2007_009322,person
2007_009323,bird
2007_009327,dog
2007_009327,person
2007_009331,dog
2007_009331,horse
2007_009331,person
2007_009346,cat
2007_009348,aeroplane
2007_009392,bus
2007_009392,car
2007_009413,chair
2007_009413,diningtable
2007_009413,person
2007_009419,pottedplant
2007_009422,bird
2007_009435,chair
2007_009435,sofa
2007_009436,person
2007_009436,train
2007_009446,tvmonitor
2007_009458,bottle
2007_009464,cat
2007_009521,chair
2007_009521,diningtable
2007_009521,sofa
2007_009521,tvmonitor
2007_009527,boat
2007_009533,boat
2007_009550,chair
2007_009550,diningtable
2007_009554,person
2007_009554,sofa
2007_009554,tvmonitor
2007_009562,dog
2007_009580,train
2007_009592,dog
2007_009592,sofa
2007_009594,tvmonitor
2007_009597,train
2007_009605,dog
2007_009607,bird
2007_009618,bicycle
2007_009618,person
2007_009630,bottle
2007_009630,cat
2007_009630,pottedplant
2007_009649,chair
2007_009649,person
2007_009649,tvmonitor
2007_009654,bottle
2007_009654,person
2007_009655,person
2007_009655,sofa
2007_009665,horse
2007_009665,person
2007_009684,person
2007_009684,sofa
2007_009687,bottle
2007_009687,person
2007_009691,motorbike
2007_009691,person
2007_009706,diningtable
2007_009709,bottle
2007_009724,cat
2007_009750,person
2007_009750,pottedplant
2007_009756,motorbike
2007_009756,person
2007_009759,bird
2007_009764,bus
2007_009779,car
2007_009779,person
2007_009788,bicycle
2007_009788,tvmonitor
2007_009794,cat
2007_009807,horse
2007_009817,bird
2007_009832,bus
2007_009841,horse
2007_009841,person
2007_009889,dog
2007_009897,cow
2007_009899,dog
2007_009901,chair
2007_009901,diningtable
2007_009901,person
2007_009911,aeroplane
2007_009923,cat
2007_009938,car
2007_009938,motorbike
2007_009947,boat
2007_009947,person
2007_009950,person
2007_009950,train
2008_000009,cow
2008_000015,bottle
2008_000016,tvmonitor
